Sample_ID	Pop_ID	Loc_ID	K1	K2	K3
AUL1	1	CE_1	0.006	0.989	0.005
AUL2	1	CE_1	0.016	0.978	0.007
AUL3	1	CE_1	0.006	0.989	0.005
AUL4	1	CE_1	0.007	0.988	0.005
AUL5	1	CE_1	0.006	0.989	0.005
AUL6	1	CE_1	0.006	0.989	0.005
AUL7	1	CE_1	0.006	0.989	0.005
AUL8	1	CE_1	0.007	0.988	0.005
AUL9	1	CE_1	0.008	0.986	0.006
AUL10	1	CE_1	0.006	0.989	0.005
AUL11	1	CE_1	0.041	0.909	0.05
AUL12	1	CE_1	0.01	0.985	0.005
AUL13	1	CE_1	0.007	0.988	0.005
AUL14	1	CE_1	0.007	0.988	0.005
AUL15	1	CE_1	0.019	0.971	0.01
AUL16	1	CE_1	0.009	0.981	0.011
BUC1	1	CE_1	0.007	0.988	0.006
BUC3	1	CE_1	0.006	0.989	0.005
BUC4	1	CE_1	0.006	0.989	0.005
BUC5	1	CE_1	0.112	0.878	0.011
BUC6	1	CE_2	0.007	0.988	0.005
BUC7	1	CE_2	0.006	0.989	0.005
BUC8	1	CE_2	0.009	0.979	0.012
BUC10	1	CE_2	0.007	0.988	0.005
CAG1	1	CE_2	0.007	0.987	0.005
CAG2	1	CE_2	0.006	0.989	0.005
CAG3	1	CE_2	0.029	0.95	0.021
CAG4	1	CE_2	0.006	0.989	0.005
CAG5	1	CE_2	0.017	0.976	0.007
CAG6	1	CE_2	0.007	0.988	0.005
CAG7	1	CE_2	0.006	0.989	0.005
CAG8	1	CE_2	0.008	0.986	0.006
CAG9	1	CE_2	0.007	0.988	0.005
CAG10	1	CE_2	0.008	0.986	0.006
PER1	1	CE_2	0.006	0.989	0.005
PER2	1	CE_2	0.006	0.989	0.005
PER3	1	CE_2	0.006	0.989	0.005
PER4	1	CE_2	0.008	0.986	0.006
PER5	1	CE_2	0.007	0.987	0.005
PER6	1	CE_2	0.007	0.988	0.005
PER7	1	CE_2	0.006	0.989	0.005
PER8	1	CE_3	0.008	0.985	0.007
PER9	1	CE_3	0.007	0.989	0.005
PER10	1	CE_3	0.006	0.989	0.005
PET1	1	CE_3	0.008	0.981	0.011
PET2	1	CE_3	0.006	0.99	0.005
PET3	1	CE_3	0.006	0.989	0.005
PET4	1	CE_3	0.006	0.989	0.005
PET5	1	CE_3	0.008	0.986	0.006
PET6	1	CE_3	0.017	0.976	0.008
PET7	1	CE_3	0.008	0.986	0.006
PET7BIS	1	CE_3	0.007	0.988	0.005
PET8	1	CE_3	0.007	0.988	0.005
SALV1	1	CE_3	0.007	0.989	0.005
SALV2	1	CE_3	0.006	0.989	0.005
SALV3	1	CE_3	0.042	0.907	0.051
SALV4	1	CE_3	0.008	0.986	0.006
SALV5	1	CE_3	0.112	0.876	0.012
SALV6	1	CE_3	0.007	0.989	0.005
SALV7	1	CE_3	0.042	0.899	0.059
SALV11	1	CE_3	0.006	0.989	0.005
SALV12	1	CE_3	0.009	0.984	0.007
A1	2	CM_1	0.017	0.004	0.979
A2	2	CM_1	0.008	0.042	0.95
A3	2	CM_1	0.007	0.005	0.988
A4	2	CM_1	0.018	0.007	0.974
A5	2	CM_1	0.007	0.005	0.988
A6	2	CM_1	0.007	0.005	0.988
A7	2	CM_1	0.007	0.005	0.989
A8	2	CM_1	0.017	0.005	0.979
A9	2	CM_1	0.04	0.037	0.923
C6	2	CM_1	0.369	0.007	0.625
