Sample_ID	Pop_ID	K1	K2
S04_S01	1O	0.995	0.005
S04_S02	1O	0.996	0.004
S04_S03	1O	0.974	0.026
S04_S04	1O	0.99	0.01
S04_S05	1O	0.996	0.004
S04_S06	1O	0.009	0.991
S04_S07	1O	0.997	0.003
S04_S08	1O	0.996	0.004
S04_S09	1O	0.989	0.011
S04_S10	1O	0.994	0.006
S04_S11	1O	0.007	0.993
S04_S12	1O	0.992	0.008
S04_S13	1O	0.871	0.129
S04_S14	1O	0.996	0.004
S04_S15	1O	0.99	0.01
S04_S16	1O	0.997	0.003
S04_S17	1O	0.993	0.007
S04_S18	1O	0.993	0.007
S04_S19	1O	0.996	0.004
S04_S20	1O	0.997	0.003
S04_S21	1O	0.984	0.016
S04_S22	1O	0.993	0.007
S04_S23	1O	0.989	0.011
S04_S24	1O	0.995	0.005
S04_S25	1O	0.986	0.014
S04_S26	1O	0.995	0.005
S04_S27	1O	0.996	0.004
S04_S28	1O	0.996	0.004
S04_S29	1O	0.997	0.003
S04_S30	1O	0.992	0.008
S04_S31	1O	0.997	0.003
S04_S32	1O	0.997	0.003
S04_S33	1O	0.994	0.006
S04_S34	1O	0.994	0.006
S04_S35	1O	0.997	0.003
S04_S36	1O	0.997	0.003
S04_S37	1O	0.988	0.012
S04_S38	1O	0.997	0.003
S04_S39	1O	0.982	0.018
S04_S40	1O	0.971	0.029
S04_01V	1R	0.62	0.38
S04_02V	1R	0.993	0.007
S04_03V	1R	0.992	0.008
S04_04V	1R	0.997	0.003
S04_05V	1R	0.987	0.013
S04_06V	1R	0.992	0.008
S04_07V	1R	0.994	0.006
S04_08V	1R	0.968	0.032
S04_09V	1R	0.993	0.007
S04_10V	1R	0.956	0.044
S04_11V	1R	0.996	0.004
S04_12V	1R	0.989	0.011
S04_13V	1R	0.006	0.994
S04_14V	1R	0.007	0.993
S04_15V	1R	0.996	0.004
S04_16V	1R	0.996	0.004
S04_17V	1R	0.996	0.004
S04_18V	1R	0.997	0.003
S04_19V	1R	0.996	0.004
S04_20V	1R	0.992	0.008
S04_21V	1R	0.198	0.802
S04_22V	1R	0.954	0.046
S04_23V	1R	0.984	0.016
S04_24V	1R	0.997	0.003
S04_25V	1R	0.985	0.015
S04_26V	1R	0.957	0.043
S04_27V	1R	0.963	0.037
S04_28V	1R	0.992	0.008
S04_29V	1R	0.997	0.003
S04_30V	1R	0.996	0.004
S04_31V	1R	0.996	0.004
S04_32V	1R	0.997	0.003
S04_33V	1R	0.996	0.004
S04_34V	1R	0.426	0.574
S04_35V	1R	0.995	0.005
S04_36V	1R	0.982	0.018
S04_37V	1R	0.993	0.007
S04_38V	1R	0.995	0.005
S04_39V	1R	0.997	0.003
S04_40V	1R	0.996	0.004
S17_S01	2O	0.973	0.027
S17_S02	2O	0.99	0.01
S17_S03	2O	0.997	0.003
S17_S04	2O	0.997	0.003
S17_S05	2O	0.996	0.004
S17_S06	2O	0.994	0.006
S17_S07	2O	0.993	0.007
S17_S08	2O	0.993	0.007
S17_S09	2O	0.993	0.007
S17_S10	2O	0.962	0.038
S17_S11	2O	0.996	0.004
S17_S12	2O	0.914	0.086
S17_S13	2O	0.983	0.017
S17_S14	2O	0.93	0.07
S17_S15	2O	0.991	0.009
S17_S16	2O	0.222	0.778
S17_S17	2O	0.993	0.007
S17_S18	2O	0.037	0.963
S17_S19	2O	0.994	0.006
S17_S20	2O	0.047	0.953
S17_S21	2O	0.997	0.003
S17_S22	2O	0.996	0.004
S17_S23	2O	0.973	0.027
S17_S24	2O	0.995	0.005
S17_S25	2O	0.995	0.005
S17_S27	2O	0.995	0.005
S17_S28	2O	0.949	0.051
S17_S29	2O	0.995	0.005
S17_S30	2O	0.983	0.017
S17_S31	2O	0.989	0.011
S17_S32	2O	0.989	0.011
S17_S33	2O	0.993	0.007
S17_S34	2O	0.995	0.005
S17_S35	2O	0.994	0.006
S17_S36	2O	0.997	0.003
S17_S37	2O	0.992	0.008
S17_S38	2O	0.996	0.004
S17_S39	2O	0.992	0.008
S17_S40	2O	0.997	0.003
S17_01V	2R	0.669	0.331
S17_02V	2R	0.996	0.004
S17_03V	2R	0.705	0.295
S17_04V	2R	0.893	0.107
S17_05V	2R	0.961	0.039
S17_06V	2R	0.997	0.003
S17_07V	2R	0.994	0.006
S17_08V	2R	0.995	0.005
