Sample_ID	Pop_ID	Locus1.1	Locus1.2	Locus2.1	Locus2.2	Locus3.1	Locus3.2	Locus4.1	Locus4.2	Locus5.1	Locus5.2	Locus6.1	Locus6.2	Locus7.1	Locus7.2
1	Pop1	128	132	266	266	113	120	149	156	242	242	185	185	195	198
2	Pop1	128	132	266	266	113	120	149	156	242	242	185	188	195	207
3	Pop1	128	128	266	266	120	120	162	162	242	242	185	188	201	207
4	Pop1	120	126	266	266	120	120	154	154	242	242	185	188	198	201
5	Pop1	132	132	266	266	120	120	154	154	239	242	NA	NA	201	207
6	Pop1	129	132	266	266	120	120	149	158	239	242	176	188	207	207
7	Pop1	114	132	266	266	120	120	151	166	239	242	176	188	195	201
8	Pop1	120	132	266	266	NA	NA	NA	NA	239	242	185	188	201	207
9	Pop1	126	132	266	266	NA	NA	NA	NA	239	239	185	188	NA	NA
10	Pop2	129	132	266	266	113	120	149	154	242	242	185	188	201	207
11	Pop2	132	132	266	266	120	120	151	151	239	239	185	188	201	207
12	Pop2	120	132	266	266	120	120	149	154	242	242	185	188	201	207
13	Pop2	NA	NA	266	266	113	120	149	149	242	242	NA	NA	207	207
14	Pop2	122	126	266	266	113	120	166	166	242	242	185	188	201	207
15	Pop2	NA	NA	266	266	113	120	149	149	NA	NA	185	188	NA	NA
16	Pop3	122	122	266	266	110	120	149	168	242	245	185	188	201	207
17	Pop3	129	132	266	266	113	120	160	160	245	245	185	188	NA	NA
18	Pop3	129	132	266	266	113	120	149	162	242	242	185	188	201	207
19	Pop3	129	132	266	266	120	120	151	168	239	239	185	188	201	201
20	Pop3	129	132	266	266	120	120	154	154	243	247	185	188	195	201
21	Pop3	114	119	266	266	120	120	NA	NA	242	246	185	188	201	201
22	Pop3	129	132	266	266	113	120	149	149	242	244	185	188	195	195
23	Pop3	129	132	266	266	120	120	149	160	242	246	185	191	195	207
24	Pop3	121	129	266	266	120	120	149	160	242	242	185	188	197	201
25	Pop3	121	129	266	266	NA	NA	NA	NA	242	242	185	185	207	207
26	Pop3	132	132	266	266	120	120	149	168	242	242	185	185	198	207
27	Pop4	NA	NA	266	266	113	120	152	164	238	242	185	188	195	195
28	Pop4	129	132	266	266	120	120	149	164	242	242	185	188	201	201
29	Pop4	126	129	266	266	113	120	152	152	240	240	185	185	195	195
30	Pop4	129	132	266	266	120	120	147	168	242	242	185	188	195	207
31	Pop4	129	132	266	266	113	120	164	164	240	246	185	188	195	207
32	Pop4	129	132	266	266	113	120	147	149	242	242	185	188	201	207
33	Pop4	129	132	266	266	NA	NA	NA	NA	240	246	185	188	195	207
34	Pop4	129	132	266	266	113	120	152	152	242	246	185	188	207	207
35	Pop4	129	132	266	266	113	120	149	152	240	244	185	188	207	207
36	Pop4	132	132	266	266	113	120	152	164	NA	NA	185	185	201	207
