Sample_ID	Pop_ID	Loc_ID	K1	K2	K3	K4	K5
S1	14	8	0.276	0.201	0.183	0.174	0.167
S2	3	7	0.226	0.235	0.193	0.196	0.15
S3	11	5	0.258	0.189	0.253	0.123	0.176
S4	8	1	0.314	0.204	0.166	0.17	0.145
S5	6	2	0.224	0.171	0.213	0.233	0.159
S6	1	1	0.266	0.158	0.19	0.207	0.18
S7	2	5	0.218	0.232	0.216	0.171	0.163
S8	2	5	0.188	0.16	0.285	0.179	0.188
S9	10	7	0.219	0.207	0.18	0.231	0.162
S10	7	3	0.195	0.238	0.273	0.14	0.154
S11	7	7	0.212	0.177	0.194	0.274	0.142
S12	7	1	0.146	0.221	0.177	0.258	0.198
S13	2	7	0.16	0.281	0.174	0.262	0.122
S14	3	7	0.134	0.147	0.279	0.248	0.192
S15	6	2	0.179	0.168	0.235	0.226	0.192
S16	7	8	0.187	0.193	0.218	0.14	0.262
S17	9	5	0.201	0.22	0.191	0.157	0.231
S18	8	3	0.192	0.179	0.24	0.223	0.165
S19	10	2	0.224	0.16	0.193	0.239	0.184
S20	7	7	0.207	0.169	0.205	0.155	0.263
S21	8	3	0.189	0.178	0.205	0.217	0.211
S22	3	5	0.124	0.232	0.186	0.231	0.227
S23	6	3	0.175	0.157	0.106	0.18	0.383
S24	5	6	0.222	0.105	0.201	0.271	0.201
S25	7	8	0.23	0.138	0.217	0.274	0.14
S26	10	4	0.201	0.156	0.234	0.23	0.178
S27	9	1	0.169	0.223	0.23	0.191	0.187
S28	1	8	0.271	0.203	0.146	0.222	0.158
S29	10	5	0.138	0.335	0.142	0.164	0.221
S30	8	4	0.183	0.182	0.164	0.191	0.28
S31	13	8	0.149	0.215	0.185	0.193	0.258
S32	3	4	0.144	0.267	0.196	0.192	0.201
S33	13	3	0.126	0.234	0.248	0.208	0.184
S34	6	2	0.183	0.268	0.201	0.206	0.142
S35	15	3	0.18	0.278	0.174	0.189	0.179
S36	12	2	0.179	0.205	0.228	0.183	0.205
S37	10	7	0.237	0.172	0.168	0.154	0.268
S38	4	1	0.244	0.2	0.164	0.199	0.192
S39	3	2	0.194	0.113	0.221	0.23	0.242
S40	5	7	0.253	0.209	0.17	0.203	0.164
S41	7	3	0.192	0.255	0.135	0.244	0.175
S42	9	2	0.2	0.199	0.144	0.258	0.198
S43	14	2	0.144	0.158	0.159	0.262	0.278
S44	8	3	0.296	0.133	0.194	0.207	0.169
S45	1	4	0.303	0.217	0.142	0.204	0.135
S46	6	3	0.251	0.172	0.21	0.162	0.205
S47	7	4	0.31	0.162	0.177	0.217	0.134
S48	7	2	0.119	0.157	0.194	0.339	0.192
S49	8	2	0.241	0.158	0.165	0.259	0.177
S50	10	2	0.208	0.221	0.174	0.132	0.265
S51	7	4	0.175	0.181	0.237	0.164	0.244
S52	9	4	0.191	0.231	0.175	0.19	0.213
S53	10	4	0.217	0.158	0.213	0.181	0.232
S54	10	6	0.211	0.211	0.202	0.17	0.207
S55	13	7	0.136	0.221	0.173	0.202	0.267
S56	9	5	0.17	0.201	0.24	0.224	0.165
S57	7	5	0.182	0.176	0.218	0.152	0.272
S58	2	6	0.18	0.209	0.183	0.226	0.201
S59	6	4	0.236	0.254	0.19	0.2	0.12
S60	8	5	0.16	0.186	0.249	0.174	0.23
S61	2	4	0.162	0.179	0.18	0.188	0.292
S62	1	7	0.195	0.241	0.153	0.235	0.177
S63	6	2	0.25	0.157	0.168	0.183	0.242
S64	5	5	0.147	0.218	0.159	0.25	0.225
S65	5	3	0.161	0.168	0.263	0.217	0.191
S66	2	8	0.186	0.165	0.268	0.172	0.209
S67	12	5	0.156	0.231	0.192	0.24	0.181
S68	14	5	0.189	0.234	0.156	0.247	0.174
S69	10	2	0.28	0.117	0.227	0.178	0.198
S70	12	4	0.177	0.152	0.229	0.217	0.226
S71	12	5	0.267	0.218	0.182	0.154	0.179
S72	14	4	0.179	0.217	0.274	0.178	0.152
S73	14	7	0.233	0.204	0.233	0.207	0.123
S74	10	1	0.198	0.248	0.251	0.156	0.147
S75	1	6	0.226	0.15	0.189	0.158	0.276
S76	14	4	0.129	0.265	0.209	0.211	0.185
S77	11	3	0.156	0.185	0.351	0.139	0.169
S78	7	7	0.224	0.251	0.17	0.172	0.184
S79	12	4	0.138	0.284	0.192	0.198	0.187
S80	3	8	0.145	0.191	0.279	0.231	0.155
S81	4	4	0.177	0.233	0.104	0.233	0.253
S82	14	1	0.22	0.173	0.256	0.191	0.16
S83	10	6	0.104	0.214	0.229	0.256	0.196
S84	15	7	0.197	0.152	0.188	0.18	0.284
S85	11	1	0.268	0.22	0.164	0.195	0.153
S86	15	6	0.161	0.212	0.131	0.189	0.307
S87	9	8	0.22	0.216	0.188	0.17	0.206
S88	14	5	0.166	0.15	0.246	0.261	0.177
S89	9	1	0.237	0.202	0.185	0.181	0.195
S90	3	3	0.3	0.223	0.139	0.202	0.136
S91	7	3	0.167	0.159	0.347	0.179	0.147
S92	6	2	0.214	0.157	0.261	0.165	0.203
S93	3	1	0.247	0.168	0.21	0.225	0.151
S94	1	8	0.148	0.132	0.288	0.209	0.224
S95	10	4	0.238	0.144	0.201	0.213	0.204
S96	2	3	0.251	0.186	0.214	0.173	0.176
S97	12	2	0.228	0.247	0.157	0.202	0.166
S98	10	3	0.228	0.174	0.234	0.21	0.154
S99	15	4	0.19	0.177	0.249	0.22	0.164
S100	3	2	0.138	0.183	0.281	0.193	0.205
S101	9	6	0.223	0.208	0.177	0.235	0.156
S102	7	8	0.284	0.179	0.185	0.144	0.208
S103	13	1	0.205	0.211	0.178	0.229	0.177
S104	13	3	0.193	0.166	0.182	0.232	0.227
S105	1	6	0.246	0.163	0.182	0.184	0.225
S106	4	5	0.223	0.22	0.196	0.194	0.166
S107	4	6	0.167	0.199	0.189	0.171	0.273
S108	11	4	0.228	0.169	0.222	0.234	0.147
S109	12	8	0.266	0.16	0.193	0.156	0.225
S110	6	1	0.162	0.18	0.201	0.314	0.143
S111	14	8	0.248	0.265	0.161	0.19	0.135
S112	2	3	0.195	0.209	0.238	0.164	0.193
S113	14	1	0.232	0.242	0.199	0.126	0.2
S114	7	5	0.218	0.151	0.221	0.207	0.203
S115	5	5	0.2	0.261	0.267	0.128	0.144
S116	13	3	0.221	0.222	0.188	0.154	0.216
S117	6	1	0.262	0.151	0.216	0.185	0.186
S118	5	1	0.162	0.165	0.144	0.275	0.254
S119	12	4	0.185	0.17	0.219	0.238	0.188
S120	9	2	0.164	0.175	0.224	0.188	0.249
S121	13	6	0.199	0.236	0.256	0.131	0.178
S122	1	3	0.217	0.13	0.215	0.217	0.221
S123	4	6	0.262	0.143	0.125	0.243	0.228
S124	13	8	0.162	0.134	0.195	0.257	0.252
S125	10	5	0.166	0.266	0.146	0.258	0.165
S126	5	8	0.269	0.297	0.168	0.11	0.155
S127	6	6	0.204	0.204	0.18	0.209	0.203
S128	9	2	0.131	0.294	0.208	0.18	0.187
S129	5	3	0.168	0.203	0.167	0.261	0.2
S130	4	6	0.212	0.228	0.164	0.207	0.19
S131	1	6	0.169	0.112	0.25	0.203	0.265
S132	4	5	0.157	0.229	0.168	0.253	0.193
S133	10	6	0.191	0.267	0.132	0.167	0.243
S134	2	6	0.287	0.225	0.186	0.144	0.157
S135	7	8	0.226	0.255	0.149	0.193	0.178
S136	3	6	0.154	0.206	0.229	0.219	0.192
S137	9	2	0.161	0.264	0.246	0.2	0.13
S138	10	7	0.159	0.299	0.154	0.238	0.15
S139	15	1	0.164	0.228	0.175	0.265	0.168
S140	2	8	0.294	0.249	0.139	0.16	0.159
S141	4	2	0.203	0.221	0.154	0.181	0.242
S142	3	1	0.204	0.23	0.113	0.255	0.198
S143	5	1	0.125	0.208	0.193	0.196	0.278
S144	1	1	0.14	0.159	0.202	0.35	0.149
S145	15	1	0.19	0.178	0.219	0.222	0.19
S146	14	6	0.169	0.197	0.202	0.22	0.211
S147	11	2	0.166	0.221	0.137	0.196	0.28
S148	14	5	0.178	0.219	0.236	0.181	0.185
S149	1	2	0.17	0.204	0.266	0.22	0.14
S150	11	1	0.254	0.111	0.221	0.139	0.274
S151	12	1	0.146	0.302	0.217	0.107	0.228
S152	12	3	0.242	0.192	0.159	0.162	0.245
S153	13	1	0.204	0.256	0.268	0.119	0.153
S154	14	5	0.15	0.196	0.267	0.188	0.199
S155	8	7	0.313	0.111	0.233	0.209	0.134
S156	9	1	0.127	0.362	0.109	0.203	0.199
S157	2	8	0.209	0.151	0.245	0.179	0.216
S158	13	3	0.189	0.259	0.137	0.262	0.152
S159	3	2	0.228	0.221	0.175	0.206	0.171
S160	10	1	0.181	0.309	0.146	0.151	0.213
S161	10	8	0.176	0.175	0.202	0.262	0.185
S162	11	1	0.199	0.261	0.105	0.265	0.17
S163	14	1	0.179	0.231	0.144	0.244	0.202
S164	9	6	0.125	0.19	0.245	0.234	0.206
S165	7	4	0.181	0.176	0.208	0.21	0.225
S166	1	5	0.278	0.198	0.209	0.157	0.157
S167	2	2	0.221	0.155	0.267	0.149	0.208
S168	1	3	0.227	0.159	0.167	0.253	0.194
S169	11	5	0.235	0.215	0.152	0.225	0.173
S170	8	3	0.165	0.219	0.195	0.142	0.28
S171	3	6	0.176	0.143	0.202	0.184	0.295
S172	5	6	0.224	0.248	0.17	0.207	0.152
S173	8	8	0.328	0.198	0.14	0.18	0.154
S174	12	4	0.198	0.183	0.197	0.165	0.257
S175	15	6	0.24	0.148	0.199	0.212	0.201
S176	3	1	0.192	0.281	0.191	0.188	0.149
S177	13	7	0.258	0.146	0.168	0.176	0.253
S178	11	6	0.147	0.206	0.21	0.175	0.262
S179	13	1	0.187	0.351	0.135	0.198	0.128
S180	10	1	0.157	0.289	0.158	0.223	0.171
S181	5	3	0.23	0.142	0.226	0.179	0.222
S182	11	4	0.22	0.163	0.293	0.176	0.148
S183	13	8	0.154	0.18	0.164	0.242	0.26
S184	8	4	0.203	0.139	0.168	0.265	0.225
S185	1	5	0.221	0.172	0.185	0.207	0.215
S186	7	2	0.156	0.223	0.238	0.259	0.123
S187	6	5	0.139	0.137	0.276	0.2	0.247
S188	2	5	0.203	0.216	0.225	0.155	0.201
S189	9	2	0.237	0.234	0.161	0.179	0.19
S190	10	5	0.255	0.105	0.27	0.181	0.188
S191	4	3	0.148	0.276	0.186	0.197	0.193
S192	2	3	0.17	0.21	0.211	0.139	0.27
S193	12	8	0.192	0.231	0.127	0.258	0.193
S194	13	2	0.132	0.143	0.307	0.217	0.2
S195	13	8	0.143	0.205	0.133	0.319	0.199
S196	3	8	0.174	0.204	0.19	0.238	0.194
S197	5	2	0.132	0.195	0.188	0.232	0.254
S198	9	8	0.139	0.269	0.231	0.203	0.158
S199	13	4	0.162	0.201	0.187	0.321	0.129
S200	4	1	0.234	0.185	0.205	0.174	0.202
S201	2	4	0.207	0.155	0.238	0.247	0.153
S202	10	1	0.198	0.228	0.191	0.187	0.196
S203	14	1	0.251	0.18	0.243	0.215	0.112
S204	11	3	0.192	0.177	0.204	0.262	0.166
S205	12	7	0.194	0.181	0.313	0.182	0.13
S206	15	2	0.291	0.183	0.183	0.202	0.142
S207	3	7	0.261	0.224	0.157	0.228	0.131
S208	4	6	0.152	0.208	0.146	0.303	0.19
S209	6	7	0.216	0.236	0.207	0.23	0.111
S210	8	8	0.16	0.226	0.189	0.242	0.183
S211	12	1	0.172	0.3	0.203	0.144	0.181
S212	2	2	0.238	0.206	0.165	0.218	0.173
S213	10	4	0.249	0.121	0.264	0.199	0.167
S214	12	8	0.297	0.194	0.17	0.126	0.212
S215	15	8	0.175	0.273	0.17	0.189	0.194
S216	11	2	0.25	0.188	0.224	0.212	0.126
S217	1	2	0.129	0.318	0.192	0.208	0.153
