Sample_ID	Pop_ID	Loc_ID	K1	K2	K3	K4
AUL1	1	CM	0.004	0.888	0.105	0.003
AUL2	1	CM	0.095	0.535	0.366	0.004
AUL3	1	CM	0.004	0.896	0.097	0.003
AUL4	1	CM	0.004	0.977	0.016	0.003
AUL5	1	CM	0.004	0.975	0.018	0.003
AUL6	1	CM	0.004	0.777	0.217	0.003
AUL7	1	CM	0.005	0.779	0.213	0.003
AUL8	1	CM	0.005	0.979	0.013	0.003
AUL9	1	CM	0.005	0.884	0.106	0.004
AUL10	1	CM	0.004	0.789	0.203	0.003
AUL11	1	CM	0.021	0.638	0.317	0.025
AUL12	1	CM	0.13	0.73	0.136	0.003
AUL13	1	CM	0.005	0.969	0.023	0.003
AUL14	1	CM	0.004	0.893	0.1	0.003
AUL15	1	CM	0.139	0.459	0.397	0.005
AUL16	1	CM	0.008	0.687	0.298	0.006
BUC1	1	CE	0.004	0.889	0.104	0.003
BUC3	1	CE	0.005	0.774	0.218	0.003
BUC4	1	CE	0.005	0.781	0.21	0.003
BUC5	1	CE	0.04	0.623	0.331	0.006
BUC6	1	CE	0.004	0.978	0.015	0.003
BUC7	1	CE	0.004	0.891	0.102	0.003
BUC8	1	CE	0.01	0.675	0.307	0.008
BUC10	1	CE	0.004	0.976	0.017	0.003
CAG1	1	CE	0.005	0.982	0.01	0.003
CAG2	1	CE	0.004	0.884	0.109	0.003
CAG3	1	CE	0.014	0.744	0.229	0.013
CAG4	1	CE	0.005	0.788	0.204	0.003
CAG5	1	CE	0.058	0.882	0.057	0.003
CAG6	1	CE	0.005	0.979	0.014	0.003
CAG7	1	CE	0.006	0.777	0.214	0.004
CAG8	1	CE	0.005	0.896	0.095	0.004
CAG9	1	CE	0.005	0.965	0.027	0.003
CAG10	1	CE	0.005	0.874	0.117	0.004
PER1	1	CE	0.004	0.777	0.216	0.003
PER2	1	CE	0.005	0.784	0.208	0.003
PER3	1	CE	0.005	0.783	0.21	0.003
PER4	1	CE	0.005	0.917	0.075	0.004
PER5	1	CE	0.005	0.97	0.022	0.004
PER6	1	CE	0.004	0.978	0.014	0.003
PER7	1	CE	0.004	0.978	0.014	0.003
PER8	1	CE	0.007	0.914	0.074	0.004
PER9	1	CE	0.005	0.976	0.015	0.003
PER10	1	CE	0.004	0.91	0.083	0.003
PET1	1	CE	0.007	0.688	0.298	0.006
PET2	1	CE	0.004	0.89	0.103	0.003
PET3	1	CE	0.005	0.877	0.116	0.003
PET4	1	CE	0.004	0.916	0.077	0.003
PET5	1	CE	0.004	0.906	0.085	0.004
PET6	1	CE	0.046	0.794	0.156	0.004
PET7	1	CE	0.005	0.886	0.105	0.004
PET7BIS	1	CE	0.004	0.984	0.008	0.003
PET8	1	CE	0.006	0.967	0.023	0.003
SALV1	1	CE	0.004	0.972	0.021	0.003
SALV2	1	CE	0.004	0.979	0.014	0.003
SALV3	1	CE	0.024	0.636	0.318	0.022
SALV4	1	CE	0.005	0.9	0.09	0.004
SALV5	1	CE	0.035	0.632	0.328	0.006
SALV6	1	CE	0.005	0.973	0.018	0.003
SALV7	1	CE	0.029	0.628	0.317	0.025
SALV11	1	CE	0.004	0.876	0.117	0.003
SALV12	1	CE	0.008	0.971	0.016	0.005
A1	2	CM	0.06	0.003	0.086	0.851
A2	2	CM	0.148	0.008	0.141	0.703
A3	2	CM	0.006	0.003	0.005	0.985
A4	2	CM	0.055	0.004	0.043	0.898
A5	2	CM	0.006	0.004	0.007	0.983
A6	2	CM	0.006	0.003	0.006	0.985
A7	2	CM	0.007	0.003	0.005	0.985
A8	2	CM	0.227	0.003	0.108	0.662
A9	2	CM	0.334	0.025	0.23	0.411
C6	2	CM	0.694	0.005	0.289	0.012
CT1	2	CM	0.007	0.003	0.005	0.984
CT2	2	CM	0.008	0.004	0.006	0.982
CT3	2	CM	0.007	0.003	0.005	0.984
CT4	2	CM	0.065	0.004	0.088	0.843
CT5	2	CM	0.007	0.003	0.006	0.983
CT6	2	CM	0.408	0.005	0.263	0.325
CT8	2	CM	0.006	0.003	0.005	0.986
CT9	2	CM	0.007	0.004	0.007	0.983
CT10	2	CM	0.047	0.004	0.032	0.917
P1	2	CM	0.475	0.006	0.235	0.283
P2	2	CM	0.006	0.003	0.005	0.986
P3	2	CM	0.008	0.004	0.007	0.981
P4	2	CM	0.006	0.004	0.006	0.985
P5	2	CM	0.005	0.003	0.006	0.985
P6	2	CM	0.006	0.003	0.005	0.986
P7	2	CM	0.005	0.003	0.006	0.986
P8	2	CM	0.481	0.165	0.285	0.07
P9	2	CM	0.056	0.003	0.078	0.863
SM1	2	CM	0.008	0.003	0.008	0.981
SM2	2	CM	0.009	0.004	0.016	0.972
SM3	2	CM	0.007	0.004	0.006	0.984
SM4	2	CM	0.006	0.003	0.007	0.983
SM5	2	CM	0.012	0.004	0.008	0.977
