Sample_ID	Pop_ID	Loc_ID	Locus_1.1	Locus_1.2	Locus_1.3	UDO.1	UDO.2	UDO.3	Locus_3.1	Locus_3.2	Locus_3.3	Locus_4.1	Locus_4.2	Locus_4.3	GAAF35454.1	GAAF35454.2	GAAF35454.3	Locus_6.1	Locus_6.2	Locus_6.3
S1	14	8	160	182	206	234	232	256	312	346	372	358	364	416	354	300	300	230	276	294
S2	3	7	150	182	192	226	230	256	310	358	376	348	378	410	348	346	300	244	268	286
S3	11	5	164	184	206	234	232	242	318	358	380	354	366	416	356	348	350	236	266	288
S4	8	1	NA	NA	NA	224	224	244	308	342	370	300	360	416	346	354	342	244	276	294
S5	6	2	170	176	202	232	300	256	304	348	384	358	362	412	342	346	350	236	266	300
S6	1	1	142	180	196	230	226	242	312	352	382	358	360	412	350	342	358	238	276	292
S7	2	5	162	186	204	224	226	240	312	348	380	358	370	414	346	300	300	230	264	294
S8	2	5	150	174	194	228	222	252	318	358	382	348	360	418	348	348	350	NA	NA	NA
S9	10	7	170	186	190	220	222	240	312	350	382	346	372	410	352	348	356	234	274	300
S10	7	3	142	180	208	228	236	242	300	356	376	342	378	408	300	342	342	244	268	298
S11	7	7	160	184	200	236	222	258	306	358	372	342	364	412	352	346	358	240	264	300
S12	7	1	160	182	196	228	222	256	300	350	382	356	368	416	358	358	352	236	278	284
S13	2	7	162	184	192	230	236	250	304	358	376	358	368	416	348	344	348	238	272	294
S14	3	7	150	184	204	230	220	248	302	342	384	342	370	400	358	358	348	238	268	282
S15	6	2	166	176	194	224	222	242	312	346	384	344	368	414	358	350	344	230	276	300
S16	7	8	170	188	206	220	232	242	308	344	386	354	362	418	354	348	342	242	272	286
S17	9	5	164	182	200	238	234	246	NA	NA	NA	342	370	406	346	300	344	230	272	284
S18	8	3	160	174	190	232	222	242	304	354	378	354	360	404	352	350	348	246	262	296
S19	10	2	142	176	208	224	238	256	316	344	384	358	360	418	350	348	344	236	278	296
S20	7	7	160	182	202	226	224	250	316	348	384	354	376	400	342	356	350	238	278	292
S21	8	3	166	178	208	228	224	248	308	354	372	344	362	404	356	300	348	244	262	294
S22	3	5	166	182	196	236	230	250	308	344	384	354	366	404	350	354	346	238	280	282
S23	6	3	170	182	196	230	232	248	312	352	374	300	364	412	352	348	358	248	280	284
S24	5	6	170	176	196	226	238	252	314	344	386	358	360	400	358	342	346	242	264	294
S25	7	8	162	186	190	224	224	242	316	352	374	352	360	416	346	344	346	238	266	290
S26	10	4	170	184	200	230	232	248	302	344	384	300	366	412	348	346	346	242	276	292
S27	9	1	146	172	200	226	230	248	310	348	372	346	376	416	354	352	348	236	264	284
S28	1	8	170	176	196	238	230	256	314	348	382	346	362	402	300	300	300	248	262	284
S29	10	5	160	180	200	236	300	250	300	358	386	344	370	404	358	352	352	246	262	292
S30	8	4	140	174	194	236	224	248	304	344	376	342	368	402	344	342	356	242	276	294
S31	13	8	162	184	192	230	230	242	310	346	380	352	370	418	348	348	358	248	274	288
S32	3	4	162	178	200	228	234	250	308	352	372	356	378	400	300	344	356	232	274	284
S33	13	3	160	188	200	228	230	244	314	346	380	358	370	400	300	346	346	238	266	300
S34	6	2	162	182	190	220	234	256	300	358	382	342	366	408	300	346	350	248	274	284
S35	15	3	146	186	194	222	224	254	310	346	380	346	372	412	348	356	346	230	272	298
S36	12	2	164	188	206	234	224	240	304	352	370	358	372	410	344	300	352	246	274	292
S37	10	7	142	178	198	226	238	248	314	348	388	354	376	412	348	358	356	NA	NA	NA
S38	4	1	154	188	206	222	222	240	300	352	374	352	362	404	356	346	344	238	264	284
S39	3	2	154	182	196	232	232	242	318	344	388	358	366	402	342	352	358	248	274	296
S40	5	7	164	182	198	234	238	240	310	346	378	300	370	402	358	358	350	234	262	290
S41	7	3	160	186	196	220	236	252	310	358	386	354	364	402	350	344	342	242	274	292
S42	9	2	154	186	208	230	236	250	318	356	376	358	374	402	342	358	356	248	280	286
S43	14	2	166	182	190	228	224	256	314	342	384	300	368	402	346	348	358	246	272	284
S44	8	3	166	184	208	NA	NA	NA	308	342	386	348	362	412	358	348	358	242	270	294
S45	1	4	154	182	192	220	236	242	304	348	374	346	360	408	358	344	358	244	280	300
S46	6	3	146	188	192	232	226	250	302	342	384	358	372	408	356	358	352	232	276	298
S47	7	4	154	176	206	228	300	248	302	358	376	358	378	408	358	300	344	242	268	300
S48	7	2	170	182	204	232	236	256	304	344	388	358	370	414	352	346	348	248	262	300
S49	8	2	162	174	198	220	220	240	306	350	386	352	368	418	300	346	342	230	262	294
S50	10	2	164	182	190	226	234	242	308	356	386	348	364	414	358	352	342	242	268	288
S51	7	4	140	184	204	224	300	248	310	356	386	352	372	400	348	356	348	238	276	296
S52	9	4	164	174	192	228	236	252	318	356	382	300	364	404	356	348	348	232	280	298
S53	10	4	140	182	206	226	220	240	318	346	374	354	376	410	354	352	358	242	268	288
S54	10	6	160	184	194	220	222	248	304	348	376	346	364	404	354	352	356	230	280	300
S55	13	7	164	186	206	228	234	240	314	352	386	352	372	406	346	350	346	234	272	292
S56	9	5	170	182	204	236	222	244	310	358	376	354	364	402	300	352	358	248	264	284
S57	7	5	146	172	198	220	220	244	318	346	382	358	372	400	344	356	358	242	266	296
S58	2	6	142	186	194	236	238	256	302	346	384	342	378	416	342	300	358	244	262	282
S59	6	4	166	178	198	238	238	254	316	358	376	344	362	404	352	350	350	248	270	294
S60	8	5	164	172	208	238	236	252	308	352	372	344	374	402	348	300	356	232	276	290
S61	2	4	146	180	198	234	230	250	318	344	372	354	366	400	346	344	358	248	272	284
S62	1	7	160	182	196	236	222	250	308	346	386	358	378	400	350	300	300	240	266	300
S63	6	2	NA	NA	NA	222	234	240	316	342	370	352	360	414	354	352	348	236	262	282
